SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,GEOID,CTYNAME,POPESTIMATE2019
40,3,6,01,000,Alabama,01000,Alabama,4903185
50,3,6,01,001,Alabama,01001,Autauga County,55869
50,3,6,01,003,Alabama,01003,Baldwin County,223234
50,3,6,01,005,Alabama,01005,Barbour County,24686
50,3,6,01,007,Alabama,01007,Bibb County,22394
50,3,6,01,009,Alabama,01009,Blount County,57826
50,3,6,01,011,Alabama,01011,Bullock County,10101
50,3,6,01,013,Alabama,01013,Butler County,19448
50,3,6,01,015,Alabama,01015,Calhoun County,113605
50,3,6,01,017,Alabama,01017,Chambers County,33254
50,3,6,01,019,Alabama,01019,Cherokee County,26196
50,3,6,01,021,Alabama,01021,Chilton County,44428
50,3,6,01,023,Alabama,01023,Choctaw County,12589
50,3,6,01,025,Alabama,01025,Clarke County,23622
50,3,6,01,027,Alabama,01027,Clay County,13235
50,3,6,01,029,Alabama,01029,Cleburne County,14910
50,3,6,01,031,Alabama,01031,Coffee County,52342
50,3,6,01,033,Alabama,01033,Colbert County,55241
50,3,6,01,035,Alabama,01035,Conecuh County,12067
50,3,6,01,037,Alabama,01037,Coosa County,10663
50,3,6,01,039,Alabama,01039,Covington County,37049
50,3,6,01,041,Alabama,01041,Crenshaw County,13772
50,3,6,01,043,Alabama,01043,Cullman County,83768
50,3,6,01,045,Alabama,01045,Dale County,49172
50,3,6,01,047,Alabama,01047,Dallas County,37196
50,3,6,01,049,Alabama,01049,DeKalb County,71513
50,3,6,01,051,Alabama,01051,Elmore County,81209
50,3,6,01,053,Alabama,01053,Escambia County,36633
50,3,6,01,055,Alabama,01055,Etowah County,102268
50,3,6,01,057,Alabama,01057,Fayette County,16302
50,3,6,01,059,Alabama,01059,Franklin County,31362
50,3,6,01,061,Alabama,01061,Geneva County,26271
50,3,6,01,063,Alabama,01063,Greene County,8111
50,3,6,01,065,Alabama,01065,Hale County,14651
50,3,6,01,067,Alabama,01067,Henry County,17205
50,3,6,01,069,Alabama,01069,Houston County,105882
50,3,6,01,071,Alabama,01071,Jackson County,51626
50,3,6,01,073,Alabama,01073,Jefferson County,658573
50,3,6,01,075,Alabama,01075,Lamar County,13805
50,3,6,01,077,Alabama,01077,Lauderdale County,92729
50,3,6,01,079,Alabama,01079,Lawrence County,32924
50,3,6,01,081,Alabama,01081,Lee County,164542
50,3,6,01,083,Alabama,01083,Limestone County,98915
50,3,6,01,085,Alabama,01085,Lowndes County,9726
50,3,6,01,087,Alabama,01087,Macon County,18068
50,3,6,01,089,Alabama,01089,Madison County,372909
50,3,6,01,091,Alabama,01091,Marengo County,18863
50,3,6,01,093,Alabama,01093,Marion County,29709
50,3,6,01,095,Alabama,01095,Marshall County,96774
50,3,6,01,097,Alabama,01097,Mobile County,413210
50,3,6,01,099,Alabama,01099,Monroe County,20733
50,3,6,01,101,Alabama,01101,Montgomery County,226486
50,3,6,01,103,Alabama,01103,Morgan County,119679
